Name,Accuracy,Precision,Recall,F1-score
Clean,0.9,0.2857142857142857,0.2571428571428572,0.2706766917293233
Poisoned,0.80625,0.2222222222222222,0.1888888888888889,0.20402858999350226
FGSM ε=0.01,0.06875,0.10818181818181818,0.026000000000000002,0.030297619047619045
FGSM ε=0.05,0.04375,0.10238095238095238,0.014000000000000002,0.020143312101910827
FGSM ε=0.1,0.10625,0.14161220043572983,0.022962962962962963,0.03838476892369108
DeepFool,0.14375,0.07931034482758621,0.015333333333333332,0.02569832402234637
Cleaned w/ IsolationForest,0.89,0.8941325942496634,0.8899999999999999,0.889989802909926
Adversarial Training,0.8206666666666667,0.8432996135670345,0.8206666666666667,0.8212222446429965
AdvTr + FGSM ε=0.05,0.07733333333333334,0.07619310838476809,0.07733333333333332,0.06892888545783608
AdvTr + FGSM ε=0.05,0.13125,0.11666666666666667,0.023333333333333334,0.03602941176470588
AdvTr + DeepFool,0.75625,0.20619658119658119,0.17083333333333334,0.1866252710427755
